Source,Article/Post,Link
Fierce Marriage Podcast,Are prenuptial agreements biblical?,https://fiercemarriage.com/are-prenuptial-agreements-biblical
Russell Moore,Are prenuptial agreements okay for Christians,https://www.russellmoore.com/2009/02/04/are-prenuptial-agreements-okay-for-christians/
Joel R. Beeke,How did the Puritans understand marriage?,https://tabletalkmagazine.com/posts/how-did-the-puritans-understand-marriage/
Ethics as Worship,Is there such a thing as a Christian prenuptial agreement?,https://evanlenow.com/2014/06/24/is-there-such-a-thing-as-a-christian-prenuptial-agreement/
Gretchen Baskerville,Life-Saving Divorce,https://lifesavingdivorce.com/
Puritan Board Forums,Marriage Prenup thread,https://puritanboard.com/threads/marriage-prenup.116093/
Brian Sauvé,"Marriage, Divorce, & Moses",https://www.refugeutah.org/matthew-5-31-32
Noah Diekemper,Puritanical Weddings and the Truth about Marriage,https://seasonedwriting.com/puritanical-weddings-and-the-truth-about-marriage/
FaithFi,Should Christians have a prenup?,https://www.faithfi.com/faithfi/should-christians-have-a-prenup-7148
GotQuestions,What does the Bible say about prenuptial agreements?,https://www.gotquestions.org/prenuptial-agreements.html
Gretchen Baskerville,What was the Puritan view of divorce?,https://lifesavingdivorce.com/puritanviewdivorce/